DATE,JTU5200JOL
2001-01-01,219.6666666666666667
2001-04-01,205.6666666666666667
2001-07-01,204.6666666666666667
2001-10-01,150.0000000000000000
2002-01-01,197.0000000000000000
2002-04-01,173.0000000000000000
2002-07-01,156.3333333333333333
2002-10-01,186.0000000000000000
2003-01-01,158.6666666666666667
2003-04-01,157.3333333333333333
2003-07-01,180.0000000000000000
2003-10-01,160.6666666666666667
2004-01-01,220.6666666666666667
2004-04-01,199.6666666666666667
2004-07-01,245.0000000000000000
2004-10-01,206.6666666666666667
2005-01-01,225.3333333333333333
2005-04-01,202.3333333333333333
2005-07-01,246.3333333333333333
2005-10-01,278.3333333333333333
2006-01-01,308.3333333333333333
2006-04-01,285.0000000000000000
2006-07-01,211.6666666666666667
2006-10-01,227.0000000000000000
2007-01-01,230.0000000000000000
2007-04-01,197.6666666666666667
2007-07-01,236.0000000000000000
2007-10-01,170.6666666666666667
2008-01-01,211.6666666666666667
2008-04-01,141.0000000000000000
2008-07-01,161.6666666666666667
2008-10-01,131.3333333333333333
2009-01-01,117.3333333333333333
2009-04-01,110.3333333333333333
2009-07-01,105.0000000000000000
2009-10-01,101.0000000000000000
2010-01-01,138.0000000000000000
2010-04-01,179.6666666666666667
2010-07-01,187.0000000000000000
2010-10-01,188.6666666666666667
2011-01-01,181.3333333333333333
2011-04-01,173.3333333333333333
2011-07-01,154.6666666666666667
2011-10-01,156.3333333333333333
2012-01-01,163.6666666666666667
2012-04-01,181.6666666666666667
2012-07-01,197.3333333333333333
2012-10-01,182.0000000000000000
2013-01-01,216.6666666666666667
2013-04-01,231.3333333333333333
2013-07-01,231.0000000000000000
2013-10-01,188.6666666666666667
2014-01-01,190.6666666666666667
2014-04-01,250.6666666666666667
2014-07-01,245.0000000000000000
2014-10-01,251.0000000000000000
2015-01-01,229.3333333333333333
2015-04-01,261.3333333333333333
2015-07-01,249.0000000000000000
2015-10-01,288.3333333333333333
2016-01-01,256.6666666666666667
2016-04-01,261.6666666666666667
2016-07-01,267.6666666666666667
2016-10-01,269.3333333333333333
2017-01-01,271.6666666666666667
2017-04-01,309.0000000000000000
2017-07-01,291.0000000000000000
2017-10-01,283.0000000000000000
2018-01-01,321.3333333333333333
2018-04-01,257.0000000000000000
2018-07-01,317.0000000000000000
2018-10-01,305.6666666666666667
2019-01-01,264.6666666666666667
2019-04-01,258.3333333333333333
2019-07-01,276.6666666666666667
2019-10-01,274.6666666666666667
2020-01-01,302.6666666666666667
2020-04-01,224.3333333333333333
2020-07-01,228.6666666666666667
2020-10-01,227.0000000000000000
2021-01-01,250.6666666666666667
2021-04-01,268.3333333333333333
2021-07-01,358.6666666666666667
2021-10-01,376.0000000000000000
2022-01-01,374.6666666666666667
2022-04-01,415.0000000000000000
2022-07-01,376.6666666666666667
2022-10-01,409.6666666666666667
2023-01-01,321.3333333333333333
2023-04-01,330.6666666666666667
2023-07-01,431.6666666666666667
2023-10-01,301.0000000000000000
2024-01-01,388.0000000000000000
2024-04-01,318.6666666666666667
2024-07-01,.
