DATE,JTU5100JOL
2001-01-01,179.3333333333333333
2001-04-01,120.3333333333333333
2001-07-01,100.3333333333333333
2001-10-01,79.3333333333333333
2002-01-01,110.3333333333333333
2002-04-01,84.3333333333333333
2002-07-01,82.6666666666666667
2002-10-01,69.0000000000000000
2003-01-01,88.6666666666666667
2003-04-01,56.0000000000000000
2003-07-01,74.3333333333333333
2003-10-01,76.6666666666666667
2004-01-01,87.6666666666666667
2004-04-01,87.0000000000000000
2004-07-01,93.0000000000000000
2004-10-01,84.6666666666666667
2005-01-01,87.3333333333333333
2005-04-01,94.6666666666666667
2005-07-01,112.0000000000000000
2005-10-01,106.0000000000000000
2006-01-01,124.0000000000000000
2006-04-01,140.3333333333333333
2006-07-01,157.0000000000000000
2006-10-01,154.3333333333333333
2007-01-01,164.3333333333333333
2007-04-01,176.0000000000000000
2007-07-01,134.6666666666666667
2007-10-01,109.3333333333333333
2008-01-01,75.0000000000000000
2008-04-01,88.3333333333333333
2008-07-01,68.6666666666666667
2008-10-01,62.0000000000000000
2009-01-01,62.6666666666666667
2009-04-01,39.6666666666666667
2009-07-01,44.6666666666666667
2009-10-01,53.0000000000000000
2010-01-01,73.3333333333333333
2010-04-01,71.3333333333333333
2010-07-01,82.6666666666666667
2010-10-01,69.3333333333333333
2011-01-01,88.0000000000000000
2011-04-01,98.3333333333333333
2011-07-01,112.0000000000000000
2011-10-01,105.6666666666666667
2012-01-01,93.6666666666666667
2012-04-01,97.0000000000000000
2012-07-01,89.3333333333333333
2012-10-01,93.0000000000000000
2013-01-01,92.0000000000000000
2013-04-01,88.0000000000000000
2013-07-01,94.3333333333333333
2013-10-01,119.3333333333333333
2014-01-01,104.6666666666666667
2014-04-01,107.6666666666666667
2014-07-01,112.0000000000000000
2014-10-01,107.6666666666666667
2015-01-01,113.6666666666666667
2015-04-01,107.6666666666666667
2015-07-01,123.0000000000000000
2015-10-01,99.0000000000000000
2016-01-01,94.0000000000000000
2016-04-01,94.0000000000000000
2016-07-01,94.3333333333333333
2016-10-01,81.3333333333333333
2017-01-01,76.6666666666666667
2017-04-01,106.6666666666666667
2017-07-01,118.6666666666666667
2017-10-01,99.3333333333333333
2018-01-01,127.3333333333333333
2018-04-01,144.6666666666666667
2018-07-01,145.0000000000000000
2018-10-01,132.3333333333333333
2019-01-01,142.3333333333333333
2019-04-01,123.3333333333333333
2019-07-01,161.3333333333333333
2019-10-01,138.3333333333333333
2020-01-01,128.6666666666666667
2020-04-01,98.3333333333333333
2020-07-01,102.3333333333333333
2020-10-01,113.6666666666666667
2021-01-01,132.6666666666666667
2021-04-01,143.0000000000000000
2021-07-01,216.0000000000000000
2021-10-01,216.6666666666666667
2022-01-01,258.3333333333333333
2022-04-01,246.6666666666666667
2022-07-01,226.0000000000000000
2022-10-01,165.3333333333333333
2023-01-01,137.3333333333333333
2023-04-01,150.0000000000000000
2023-07-01,144.0000000000000000
2023-10-01,143.6666666666666667
2024-01-01,163.6666666666666667
2024-04-01,116.3333333333333333
2024-07-01,.
