DATE,JTS3400JOL
2001-01-01,155.6666666666666667
2001-04-01,116.0000000000000000
2001-07-01,116.3333333333333333
2001-10-01,100.6666666666666667
2002-01-01,104.6666666666666667
2002-04-01,96.6666666666666667
2002-07-01,89.3333333333333333
2002-10-01,84.3333333333333333
2003-01-01,77.0000000000000000
2003-04-01,83.3333333333333333
2003-07-01,76.6666666666666667
2003-10-01,90.3333333333333333
2004-01-01,94.0000000000000000
2004-04-01,102.6666666666666667
2004-07-01,100.3333333333333333
2004-10-01,91.0000000000000000
2005-01-01,98.3333333333333333
2005-04-01,83.0000000000000000
2005-07-01,96.6666666666666667
2005-10-01,100.3333333333333333
2006-01-01,104.3333333333333333
2006-04-01,118.6666666666666667
2006-07-01,116.0000000000000000
2006-10-01,118.0000000000000000
2007-01-01,128.6666666666666667
2007-04-01,136.3333333333333333
2007-07-01,123.3333333333333333
2007-10-01,128.6666666666666667
2008-01-01,117.3333333333333333
2008-04-01,105.3333333333333333
2008-07-01,98.3333333333333333
2008-10-01,86.0000000000000000
2009-01-01,60.6666666666666667
2009-04-01,48.3333333333333333
2009-07-01,55.0000000000000000
2009-10-01,73.6666666666666667
2010-01-01,63.6666666666666667
2010-04-01,68.0000000000000000
2010-07-01,62.3333333333333333
2010-10-01,61.0000000000000000
2011-01-01,74.3333333333333333
2011-04-01,72.6666666666666667
2011-07-01,72.3333333333333333
2011-10-01,75.3333333333333333
2012-01-01,90.6666666666666667
2012-04-01,102.3333333333333333
2012-07-01,102.3333333333333333
2012-10-01,93.6666666666666667
2013-01-01,94.6666666666666667
2013-04-01,86.3333333333333333
2013-07-01,93.6666666666666667
2013-10-01,125.0000000000000000
2014-01-01,114.0000000000000000
2014-04-01,117.0000000000000000
2014-07-01,121.6666666666666667
2014-10-01,115.3333333333333333
2015-01-01,120.6666666666666667
2015-04-01,123.0000000000000000
2015-07-01,130.3333333333333333
2015-10-01,135.6666666666666667
2016-01-01,153.6666666666666667
2016-04-01,175.3333333333333333
2016-07-01,142.3333333333333333
2016-10-01,144.0000000000000000
2017-01-01,164.3333333333333333
2017-04-01,166.3333333333333333
2017-07-01,176.3333333333333333
2017-10-01,167.6666666666666667
2018-01-01,171.6666666666666667
2018-04-01,165.6666666666666667
2018-07-01,186.3333333333333333
2018-10-01,183.0000000000000000
2019-01-01,156.6666666666666667
2019-04-01,177.6666666666666667
2019-07-01,169.3333333333333333
2019-10-01,149.3333333333333333
2020-01-01,147.3333333333333333
2020-04-01,142.6666666666666667
2020-07-01,200.3333333333333333
2020-10-01,230.3333333333333333
2021-01-01,289.6666666666666667
2021-04-01,378.3333333333333333
2021-07-01,369.6666666666666667
2021-10-01,378.3333333333333333
2022-01-01,340.0000000000000000
2022-04-01,323.6666666666666667
2022-07-01,330.6666666666666667
2022-10-01,277.0000000000000000
2023-01-01,250.6666666666666667
2023-04-01,231.6666666666666667
2023-07-01,214.0000000000000000
2023-10-01,189.3333333333333333
2024-01-01,215.6666666666666667
2024-04-01,165.0000000000000000
2024-07-01,.
