Sector_1,Sector_2,Correlation
JOLTS_Government,UNEMPLOYED,-0.4469078511990613
JOLTSDurableGoodsManuf,UNEMPLOYED,-0.5195314215995479
JOLTS_Information,UNEMPLOYED,-0.533243188760481
JOLTSFinanceANDInsurance,UNEMPLOYED,-0.6093083277683417
JOLTSHealthCareSocialAssistance,UNEMPLOYED,-0.4980841718440068
JOLTSLeisureANDHospitality,UNEMPLOYED,-0.5458515308545037
JOLTSPrivEduHealthServices,UNEMPLOYED,-0.4951194465943206
JOLTSProf_AND_Bus.Services,UNEMPLOYED,-0.49461997081518144
JOLTSRetailTrade,UNEMPLOYED,-0.4882133521562638
JOLTSTransp_Warehousing_Utlts,UNEMPLOYED,-0.4264330374129789
JOLTSNondurableGoodsManuf,UNEMPLOYED,-0.43991868314566673
JTSJOL_TOTAL,UNEMPLOYED,-0.5241649368473038
