DATE,JTU480099JOL
2001-01-01,141.6666666666666667
2001-04-01,126.0000000000000000
2001-07-01,136.6666666666666667
2001-10-01,109.6666666666666667
2002-01-01,88.6666666666666667
2002-04-01,106.6666666666666667
2002-07-01,84.3333333333333333
2002-10-01,95.6666666666666667
2003-01-01,88.6666666666666667
2003-04-01,100.0000000000000000
2003-07-01,94.6666666666666667
2003-10-01,94.6666666666666667
2004-01-01,86.3333333333333333
2004-04-01,83.6666666666666667
2004-07-01,93.0000000000000000
2004-10-01,85.0000000000000000
2005-01-01,96.6666666666666667
2005-04-01,125.0000000000000000
2005-07-01,132.3333333333333333
2005-10-01,114.0000000000000000
2006-01-01,95.6666666666666667
2006-04-01,146.6666666666666667
2006-07-01,141.0000000000000000
2006-10-01,139.0000000000000000
2007-01-01,155.6666666666666667
2007-04-01,140.6666666666666667
2007-07-01,163.0000000000000000
2007-10-01,141.3333333333333333
2008-01-01,138.3333333333333333
2008-04-01,113.0000000000000000
2008-07-01,116.3333333333333333
2008-10-01,84.0000000000000000
2009-01-01,60.3333333333333333
2009-04-01,69.3333333333333333
2009-07-01,58.6666666666666667
2009-10-01,46.6666666666666667
2010-01-01,55.0000000000000000
2010-04-01,69.0000000000000000
2010-07-01,84.3333333333333333
2010-10-01,84.3333333333333333
2011-01-01,100.0000000000000000
2011-04-01,110.6666666666666667
2011-07-01,109.3333333333333333
2011-10-01,108.6666666666666667
2012-01-01,124.3333333333333333
2012-04-01,109.0000000000000000
2012-07-01,118.3333333333333333
2012-10-01,101.6666666666666667
2013-01-01,128.3333333333333333
2013-04-01,137.6666666666666667
2013-07-01,135.3333333333333333
2013-10-01,133.0000000000000000
2014-01-01,144.0000000000000000
2014-04-01,156.6666666666666667
2014-07-01,188.6666666666666667
2014-10-01,193.0000000000000000
2015-01-01,220.0000000000000000
2015-04-01,260.3333333333333333
2015-07-01,223.3333333333333333
2015-10-01,255.3333333333333333
2016-01-01,152.6666666666666667
2016-04-01,192.0000000000000000
2016-07-01,210.6666666666666667
2016-10-01,166.3333333333333333
2017-01-01,181.3333333333333333
2017-04-01,196.3333333333333333
2017-07-01,276.6666666666666667
2017-10-01,218.0000000000000000
2018-01-01,278.6666666666666667
2018-04-01,305.6666666666666667
2018-07-01,303.6666666666666667
2018-10-01,300.3333333333333333
2019-01-01,299.0000000000000000
2019-04-01,346.3333333333333333
2019-07-01,321.3333333333333333
2019-10-01,319.6666666666666667
2020-01-01,310.6666666666666667
2020-04-01,287.0000000000000000
2020-07-01,316.0000000000000000
2020-10-01,311.6666666666666667
2021-01-01,406.6666666666666667
2021-04-01,490.6666666666666667
2021-07-01,590.0000000000000000
2021-10-01,604.0000000000000000
2022-01-01,526.3333333333333333
2022-04-01,498.0000000000000000
2022-07-01,532.3333333333333333
2022-10-01,523.6666666666666667
2023-01-01,520.6666666666666667
2023-04-01,492.0000000000000000
2023-07-01,443.6666666666666667
2023-10-01,444.6666666666666667
2024-01-01,305.3333333333333333
2024-04-01,351.3333333333333333
2024-07-01,.
