DATE,JTSJOL
2001-01-01,5031.0000000000000000
2001-04-01,4467.0000000000000000
2001-07-01,4180.6666666666666667
2001-10-01,3719.6666666666666667
2002-01-01,3582.3333333333333333
2002-04-01,3446.6666666666666667
2002-07-01,3395.0000000000000000
2002-10-01,3387.3333333333333333
2003-01-01,3256.3333333333333333
2003-04-01,3262.3333333333333333
2003-07-01,3087.3333333333333333
2003-10-01,3347.6666666666666667
2004-01-01,3493.6666666666666667
2004-04-01,3519.3333333333333333
2004-07-01,3725.3333333333333333
2004-10-01,3829.6666666666666667
2005-01-01,3937.6666666666666667
2005-04-01,4006.0000000000000000
2005-07-01,4250.0000000000000000
2005-10-01,4238.0000000000000000
2006-01-01,4484.6666666666666667
2006-04-01,4622.3333333333333333
2006-07-01,4613.6666666666666667
2006-10-01,4618.6666666666666667
2007-01-01,4808.0000000000000000
2007-04-01,4735.0000000000000000
2007-07-01,4598.6666666666666667
2007-10-01,4609.0000000000000000
2008-01-01,4376.0000000000000000
2008-04-01,4019.6666666666666667
2008-07-01,3548.3333333333333333
2008-10-01,3251.3333333333333333
2009-01-01,2712.0000000000000000
2009-04-01,2449.0000000000000000
2009-07-01,2352.3333333333333333
2009-10-01,2492.3333333333333333
2010-01-01,2727.3333333333333333
2010-04-01,2980.6666666666666667
2010-07-01,2999.6666666666666667
2010-10-01,3168.0000000000000000
2011-01-01,3197.0000000000000000
2011-04-01,3297.6666666666666667
2011-07-01,3575.3333333333333333
2011-10-01,3650.6666666666666667
2012-01-01,3834.6666666666666667
2012-04-01,3846.3333333333333333
2012-07-01,3808.6666666666666667
2012-10-01,3874.3333333333333333
2013-01-01,4001.0000000000000000
2013-04-01,4094.3333333333333333
2013-07-01,4032.6666666666666667
2013-10-01,4154.0000000000000000
2014-01-01,4296.0000000000000000
2014-04-01,4765.0000000000000000
2014-07-01,5036.3333333333333333
2014-10-01,4995.0000000000000000
2015-01-01,5340.0000000000000000
2015-04-01,5469.6666666666666667
2015-07-01,5670.3333333333333333
2015-10-01,5775.3333333333333333
2016-01-01,5970.3333333333333333
2016-04-01,5774.0000000000000000
2016-07-01,5835.6666666666666667
2016-10-01,5842.0000000000000000
2017-01-01,5783.6666666666666667
2017-04-01,6074.0000000000000000
2017-07-01,6278.0000000000000000
2017-10-01,6338.3333333333333333
2018-01-01,6663.6666666666666667
2018-04-01,7041.0000000000000000
2018-07-01,7269.6666666666666667
2018-10-01,7462.3333333333333333
2019-01-01,7295.0000000000000000
2019-04-01,7247.0000000000000000
2019-07-01,7114.6666666666666667
2019-10-01,6958.6666666666666667
2020-01-01,6689.3333333333333333
2020-04-01,5462.0000000000000000
2020-07-01,6455.0000000000000000
2020-10-01,6817.6666666666666667
2021-01-01,7840.6666666666666667
2021-04-01,9834.6666666666666667
2021-07-01,10916.6666666666666667
2021-10-01,11351.3333333333333333
2022-01-01,11708.3333333333333333
2022-04-01,11483.3333333333333333
2022-07-01,10813.3333333333333333
2022-10-01,10742.6666666666666667
2023-01-01,9965.6666666666666667
2023-04-01,9446.6666666666666667
2023-07-01,9156.6666666666666667
2023-10-01,8835.0000000000000000
2024-01-01,8638.6666666666666667
2024-04-01,8019.6666666666666667
2024-07-01,.
