Start Date,End Date,Negative Trend Length (Quarters),SPY Start Price,SPY Price 3-Month,SPY 3-Month Performance,SPY Price 6-Month,SPY 6-Month Performance,SPY Price 9-Month,SPY 9-Month Performance,SPY Price 12-Month,SPY 12-Month Performance,SPY Price 24-Month,SPY 24-Month Performance,SPY Price 36-Month,SPY 36-Month Performance,SPY Price 48-Month,SPY 48-Month Performance,SPY Price 60-Month,SPY 60-Month Performance,SPY Price 72-Month,SPY 72-Month Performance,SPY Price 84-Month,SPY 84-Month Performance,SPY Price 96-Month,SPY 96-Month Performance,SPY Price 108-Month,SPY 108-Month Performance
2001-03-31,2001-09-30,2,125.88666666666667,124.48666666666666,-1.1121114229730489,113.31333333333333,-9.987819732034108,111.38333333333333,-11.520944765132668,112.95,-10.276439125139014,85.23333333333333,-32.29359741566489,113.86666666666667,-9.548270931525707,118.91666666666667,-5.536726155801514,128.52,2.091828628925494,142.22666666666666,12.979929036699666,134.38666666666666,6.752105068050616,78.76,-37.43578880474501,111.71,-11.26145209977229
2001-12-31,2002-09-30,3,111.38333333333333,112.95,1.4065539428400513,104.67999999999999,-6.018255274577286,88.24333333333334,-20.775101002543757,90.24333333333334,-18.979500224450085,107.67666666666666,-3.3278467754002663,117.32000000000001,5.329941642974726,123.35000000000001,10.743677988927143,139.98,25.674098458775994,149.84,34.526410294777804,92.38666666666666,-17.055214723926383,108.31333333333333,-2.7562471943737785,120.91000000000001,8.553045039652869
2002-12-31,2003-03-31,1,90.24333333333334,85.23333333333333,-5.551656632068856,95.49666666666667,5.82129797214937,100.25999999999999,11.09961954715028,107.67666666666666,19.318139844125128,117.32000000000001,30.004063088686145,123.35000000000001,36.68599711890075,139.98,55.1139511690614,149.84,66.0399660178037,92.38666666666666,2.3750600229010264,108.31333333333333,20.02363978871938,120.91000000000001,33.98219628412071,125.33,38.88006500941897
2003-09-30,2003-09-30,0,100.25999999999999,107.67666666666666,7.397433339982717,113.86666666666667,13.571381075869423,112.78333333333335,12.490857104860718,111.23666666666668,10.948201343174436,123.12,22.800718132854595,130.69,30.3510871733493,148.63,48.24456413325355,123.86999999999999,23.548773189706765,102.28666666666668,2.0214109980716986,109.90333333333332,9.618325686548305,121.56666666666668,21.251412992885186,140.9466666666667,40.58115566194564
2005-12-31,2005-12-31,0,123.35000000000001,128.52,4.191325496554521,128.73666666666668,4.366977435481694,130.69,5.950547223348187,139.98,13.481961897040925,149.84,21.47547628698824,92.38666666666666,-25.102013241453868,108.31333333333333,-12.190244561545743,120.91000000000001,-1.9781110660721504,125.33,1.605188488042148,141.97333333333333,15.097959735170912,180.49333333333334,46.32617213890015,204.79999999999998,66.03161734900686
2006-09-30,2006-09-30,0,130.69,139.98,7.108424516030294,142.22666666666666,8.827505292422268,150.67999999999998,15.295738005968307,148.63,13.727140561634402,123.86999999999999,-5.218455887979193,102.28666666666668,-21.733363940112728,109.90333333333332,-15.90532302905094,121.56666666666668,-6.980896268523468,140.9466666666667,7.84808835156989,166.79,27.622618409977807,196.94000000000003,50.69247838396207,199.9333333333333,52.98288570918457
2007-06-30,2007-09-30,1,150.67999999999998,148.63,-1.3604990708786722,149.84,-0.557472790018566,134.38666666666666,-10.813202371471546,135.53,-10.054419962835134,90.63333333333333,-39.8504557118839,110.46666666666665,-26.68790372533404,134.43333333333334,-10.782231660914949,135.81333333333333,-9.866383505884423,161.17999999999998,6.968409875232282,192.23666666666668,27.57941775064156,208.48333333333335,38.36164941155653,208.54666666666665,38.40368109016902
2008-03-31,2008-09-30,2,134.38666666666666,135.53,0.8507788471078568,123.86999999999999,-7.8256771505109635,92.38666666666666,-31.253100506002585,78.76,-41.392995336838965,111.71,-16.874193868439328,131.47333333333333,-2.1678737970036663,136.38333333333333,1.4857624764361568,152.66,13.597579124913192,183.82666666666668,36.78936402420877,205.51333333333332,52.92687766643517,197.6,47.03839666633595,233.24666666666667,73.56384561960513
2008-12-31,2009-09-30,3,92.38666666666666,78.76,-14.749603117332931,90.63333333333333,-1.8978207533554594,102.28666666666668,10.715832010391132,108.31333333333333,17.239139847019786,120.91000000000001,30.87386347236256,125.33,35.65810362245635,141.97333333333333,53.672968682349556,180.49333333333334,95.36729686823499,204.79999999999998,121.67700966950498,206.83,123.87429643527209,218.82000000000002,136.8523596478569,263.00666666666666,184.68032905181127
2012-09-30,2012-09-30,0,140.9466666666667,141.97333333333333,0.7284079084287027,152.66,8.310472046164016,161.17999999999998,14.355311701825718,166.79,18.33554063002552,196.94000000000003,39.726610538265064,199.9333333333333,41.85034528426824,216.9333333333333,53.91164506669185,248.49666666666667,76.30545832939171,287.4533333333333,103.94475451707497,295.55,109.68924415854696,336.9066666666667,139.03131208021946,439.7366666666667,211.98798599943234
2013-09-30,2013-09-30,0,166.79,180.49333333333334,8.21592021903792,183.82666666666668,10.214441313428079,192.23666666666668,15.256710034574429,196.94000000000003,18.07662329875894,199.9333333333333,19.871295241521263,216.9333333333333,30.063752822911038,248.49666666666667,48.987749065691396,287.4533333333333,72.3444650958291,295.55,77.19887283410279,336.9066666666667,101.9945240522014,439.7366666666667,163.6469012930432,388.1166666666666,132.69780362531725
2014-12-31,2014-12-31,0,204.79999999999998,205.51333333333332,0.3483072916666691,208.48333333333335,1.7985026041666825,199.9333333333333,-2.3763020833333375,206.83,0.9912109375000144,218.82000000000002,6.845703125000019,263.00666666666666,28.421223958333343,265.4,29.58984375,313.1666666666667,52.91341145833336,354.16,72.92968750000003,463.25666666666666,126.19954427083336,392.1066666666666,91.45833333333333,449.96999999999997,119.71191406250001
2016-06-30,2016-06-30,0,208.54666666666665,216.9333333333333,4.021482002429507,218.82000000000002,4.926155616648569,233.24666666666667,11.843871875199804,240.44000000000003,15.293139824819404,268.91,28.944760565181276,287.43,37.825266926667105,301.05333333333334,44.357777635701055,421.8,102.25688894571961,400.7266666666667,92.15203631481366,425.68666666666667,104.12058052554185,524.5233333333334,151.51365002237716,558.8333333333334,167.96560322230042
2017-03-31,2017-03-31,0,233.24666666666667,240.44000000000003,3.0840026295481278,248.49666666666667,6.538142738731528,263.00666666666666,12.759024780632803,272.2333333333333,16.71477977534511,277.03000000000003,18.771257895789876,291.91333333333336,25.152199388344247,382.25333333333333,63.883728241918426,446.06,91.23960328121873,404.04333333333335,73.22576957155516,504.6766666666667,116.37036613599336,558.8333333333334,139.58899019635865,558.8333333333334,139.58899019635865
2019-03-31,2019-09-30,2,277.03000000000003,287.43,3.754106053496003,295.55,6.685196549110198,313.1666666666667,13.044315296778924,291.91333333333336,5.372462669506308,382.25333333333333,37.98264929189376,446.06,61.01505252138756,404.04333333333335,45.84822341743974,504.6766666666667,82.17401244149248,558.8333333333334,101.7230384194251,558.8333333333334,101.7230384194251,558.8333333333334,101.7230384194251,558.8333333333334,101.7230384194251
2019-12-31,2020-06-30,2,313.1666666666667,291.91333333333336,-6.786588610963277,301.05333333333334,-3.868014901543378,336.9066666666667,7.580627993613627,354.16,13.089941458222459,463.25666666666666,47.92655667908461,392.1066666666666,25.20702501330493,449.96999999999997,43.68387440127726,558.8333333333334,78.44598190526875,558.8333333333334,78.44598190526875,558.8333333333334,78.44598190526875,558.8333333333334,78.44598190526875,558.8333333333334,78.44598190526875
2022-06-30,2022-09-30,1,400.7266666666667,388.1166666666666,-3.1467833435924906,392.1066666666666,-2.1510921825350766,404.04333333333335,0.8276630787402875,425.68666666666667,6.228684556389221,524.5233333333334,30.893044302849837,558.8333333333334,39.45499010131594,558.8333333333334,39.45499010131594,558.8333333333334,39.45499010131594,558.8333333333334,39.45499010131594,558.8333333333334,39.45499010131594,558.8333333333334,39.45499010131594,558.8333333333334,39.45499010131594
2022-12-31,2023-09-30,3,392.1066666666666,404.04333333333335,3.0442396626768375,425.68666666666667,8.563996191512526,445.2066666666667,13.542233405875972,449.96999999999997,14.75703890097933,558.8333333333334,42.52074265505988,558.8333333333334,42.52074265505988,558.8333333333334,42.52074265505988,558.8333333333334,42.52074265505988,558.8333333333334,42.52074265505988,558.8333333333334,42.52074265505988,558.8333333333334,42.52074265505988,558.8333333333334,42.52074265505988
2023-12-31,2024-09-30,3,449.96999999999997,504.6766666666667,12.157847560207728,524.5233333333334,16.568511974872425,558.8333333333334,24.193464749501835,558.8333333333334,24.193464749501835,558.8333333333334,24.193464749501835,558.8333333333334,24.193464749501835,558.8333333333334,24.193464749501835,558.8333333333334,24.193464749501835,558.8333333333334,24.193464749501835,558.8333333333334,24.193464749501835,558.8333333333334,24.193464749501835,558.8333333333334,24.193464749501835
